Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 03:07:13.072,114410.8,0.001,BTCUSDT
2025-09-30 03:07:13.072,114410.8,0.002,BTCUSDT
2025-09-30 03:07:13.072,114410.3,0.002,BTCUSDT
2025-09-30 03:07:13.072,114410.3,0.001,BTCUSDT
2025-09-30 03:07:13.072,114410.0,0.001,BTCUSDT
2025-09-30 03:07:13.072,114410.0,0.001,BTCUSDT
2025-09-30 03:07:13.093,114409.8,0.001,BTCUSDT
2025-09-30 03:07:13.093,114409.8,0.028,BTCUSDT
2025-09-30 03:07:13.127,114409.9,0.01,BTCUSDT
2025-09-30 03:07:13.256,114409.9,0.029,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.172,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.001,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.001,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.001,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.001,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.07,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.07,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.07,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.07,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.07,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.002,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.07,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.003,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.002,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.008,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.002,BTCUSDT
2025-09-30 03:07:13.386,114409.8,0.001,BTCUSDT
2025-09-30 03:07:13.386,114409.7,0.002,BTCUSDT
2025-09-30 03:07:13.386,114409.7,0.001,BTCUSDT
2025-09-30 03:07:13.386,114409.7,0.002,BTCUSDT
2025-09-30 03:07:13.388,114409.3,0.002,BTCUSDT
2025-09-30 03:07:13.388,114409.2,0.002,BTCUSDT
2025-09-30 03:07:13.388,114409.1,0.002,BTCUSDT
2025-09-30 03:07:13.388,114409.1,0.002,BTCUSDT
2025-09-30 03:07:13.388,114408.8,0.002,BTCUSDT
2025-09-30 03:07:13.388,114408.5,0.002,BTCUSDT
2025-09-30 03:07:13.398,114407.9,0.002,BTCUSDT
2025-09-30 03:07:13.398,114407.9,0.001,BTCUSDT
2025-09-30 03:07:13.398,114407.9,0.001,BTCUSDT
2025-09-30 03:07:13.398,114407.9,0.001,BTCUSDT
2025-09-30 03:07:13.398,114407.7,0.001,BTCUSDT
